Sr No,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks,date
2595,Axtria,Big Data & Analytics platform,Online Lending Platform,India / US,"Helion Venture Partners,Amarpreet Sawhney, Deshpande Foundation, Fred Khosravi, Richard S. Braddock",Private Equity,30000.0,Series C,08/07/2015
2596,33Coupons,Coupon Aggregator Platform,Online Lending Platform,Kanpur,Not Disclosed,Seed Funding,20.0,Not provided,08/07/2015
2597,Ampere,Electric Scooter manufacturer,Online Lending Platform,Coimbatore,Ratan Tata,Seed Funding,18438.5,Not provided,08/07/2015
2598,Hopping Chef,Online Food-Tech Platform,Online Lending Platform,Mumbai,Mirah Hospitality,Seed Funding,470.0,Strategic Investment,08/07/2015
2599,Collectabillia,Celebrity Fashion Brand,Online Lending Platform,Bangalore,Accel Partners,Private Equity,7500.0,Series B,08/07/2015
2600,Lendingkart,Online Finance lending platform,Online Lending Platform,Ahmedabad,"Saama Capital, Mayfield, Ashvin Chadha, Shailesh Mehta",Private Equity,10000.0,Series A,08/07/2015
2601,Lybrate,Healthcare Mobile App,Online Lending Platform,New Delhi,"Tiger Global Management, Ratan Tata, Nexus Venture Partners",Private Equity,10200.0,Series A,08/07/2015
2602,Zoomcar,Self-driven vehicle rental,Online Lending Platform,Bangalore,"Sequoia Capital, Empire Angels, NGP",Private Equity,11000.0,Series B,08/07/2015
2603,\\xc2\\xa0News in shorts,\\xc2\\xa0News Aggregator mobile app,Online Lending Platform,\\xc2\\xa0Noida,\\xc2\\xa0Tiger Global,Private Equity,18438.5,\\xc2\\xa0Series B,09/07/2015
2604,\\xc2\\xa0Bluestone,\\xc2\\xa0Online Jewellery Store,Online Lending Platform,\\xc2\\xa0Bangalore,"\\xc2\\xa0IvyCap Ventures, Accel Partners, Dragoneer Investment Group",Private Equity,18438.5,Not provided,09/07/2015
2605,\\xc2\\xa0Shopsity,\\xc2\\xa0Fashion Info Aggregator App,Online Lending Platform,\\xc2\\xa0Gurgaon,"\\xc2\\xa0 Sandeep Aggarwal, Teruhide Sato",Seed Funding,18438.5,Not provided,09/07/2015
2606,\\xc2\\xa0Notesgen,\\xc2\\xa0Online Study Notes Marketplace,Online Lending Platform,\\xc2\\xa0New Delhi,"\\xc2\\xa0Rajeev Saraf, Arvind Jha, R. Satya Narayanan",Seed Funding,18438.5,Not provided,09/07/2015
2608,\\xc2\\xa0Footprints Education,\\xc2\\xa0Pre-School Chain,Online Lending Platform,\\xc2\\xa0Gurgaon,"\\xc2\\xa0LetsVenture, Kumar Bansal, Kshitij Jain",Seed Funding,18438.5,Not provided,10/07/2015
2609,\\xc2\\xa0Loylty Rewards,\\xc2\\xa0Premium Loyalty Rewards Point Management,Online Lending Platform,\\xc2\\xa0Mumbai,\\xc2\\xa0IndianIdeas.com,Private Equity,18438.5,\\xc2\\xa0Late Stage,10/07/2015
2610,\\xc2\\xa0Ameyo,\\xc2\\xa0Contact Center Software Platform,Online Lending Platform,\\xc2\\xa0Gurgaon,\\xc2\\xa0Forum Synergies PE Fund,Private Equity,18438.5,\\xc2\\xa0Series A,13/07/2015
2611,\\xc2\\xa0Mamagoto,\\xc2\\xa0Casual Dining restaurant Chain,Online Lending Platform,\\xc2\\xa0New Delhi,\\xc2\\xa0Goldman Sachs,Private Equity,18438.5,\\xc2\\xa0Series A,13/07/2015
2612,\\xc2\\xa0Satvacart,\\xc2\\xa0Online Grocery Delivery,Online Lending Platform,\\xc2\\xa0Gurgaon,\\xc2\\xa0Palaash Ventures,Seed Funding,18438.5,Not provided,13/07/2015
2613,MySmartPrice,Online comparison engine,Online Lending Platform,Hyderabad,"Accel Partners, Helion Venture Partners",Private Equity,10000.0,Series B,14/07/2015
2614,Zenify,Residential Rental management platform,Online Lending Platform,Bangalore,Atul Jalan,Seed Funding,18438.5,Not provided,14/07/2015
2615,Boxmyspace,Physical Storage warehouses,Online Lending Platform,Mumbai,"Ritesh Veera, Singapore Angel Network, Orios Venture Partners,",Seed Funding,300.0,Not provided,14/07/2015
2616,HackerRank,Tech Recruitment platform,Online Lending Platform,Bangalore,HR Technology fund,Private Equity,7500.0,Series C,14/07/2015
2617,WickedRide,Bike Rental Platform,Online Lending Platform,Bangalore,Not provided,Seed Funding,790.0,Not provided,14/07/2015
2618,WoWexpress,Tech enabled logistics platform,Online Lending Platform,Mumbai,Tamarind Family Private Trust,Seed Funding,500.0,Not provided,14/07/2015
2619,Oyo Rooms,Budget Hotel Accommodation,Online Lending Platform,Gurgaon,"Softbank, Sequoia Capital",Private Equity,44596.25,Series B,15/07/2015
2620,Mobikon,Restaurant customer engagement platform,Online Lending Platform,Pune,Jungle Ventures,Private Equity,2300.0,Series B,15/07/2015
2621,InstaLively.com,Live video streaming app,Online Lending Platform,New Delhi,"Anupam Mittal, Anand Chandrasekaran, Uday Shankar, Chetan Bhagat",Seed Funding,18438.5,Not provided,15/07/2015
2622,Roadrunnr,Hyper local logistics platform,Online Lending Platform,Bangalore,"Sequoia Capital, Nexus Venture Partners, Blume Ventures",Private Equity,11000.0,Series A,15/07/2015
2623,Ketto,Crowd Funding Platform,Online Lending Platform,Mumbai,"Pradyumna Dalmia, Sudhir Rao & Others",Seed Funding,700.0,Not provided,16/07/2015
2624,QuikWallet,F&B sector Mobile Payment platform,Online Lending Platform,Mumbai,Snow Leopard Technology Ventures,Private Equity,1600.0,Follow on Funding,17/07/2015
2625,Omnikart,Industrial Supplies B2B ecommerce,Online Lending Platform,Mumbai,"Sumit Gandhi, Manish Gandhi",Seed Funding,100.0,Not provided,17/07/2015
2626,Zo Rooms,Online budget hotel chain,Online Lending Platform,New Delhi,"Tiger Global, Orios Venture Partners.",Private Equity,15000.0,No confirmation,20/07/2015
2627,Innoviti,Payment Solutions platform,Online Lending Platform,Bangalore,"Catamaran Ventures, New India Investment Corporation",Private Equity,4850.0,Series A,20/07/2015
2628,ZenRadius,Online Hiring Platform,Online Lending Platform,Bangalore,"Tracxn Labs, Deepak Singh",Seed Funding,18438.5,Not provided,21/07/2015
2629,Joy by nature,Organic Food ecommerce,Online Lending Platform,New Delhi,"Mumbai Angels, Vriddhi Fund, Others",Private Equity,1000.0,Series A,21/07/2015
2630,Iqlect,Big Data & Analytics platform,Online Lending Platform,Bangalore,Exfinity Venture Partners,Private Equity,2000.0,Series A,22/07/2015
2631,deGustibus,Fine Dining Restaurant Chain,Online Lending Platform,Mumbai,India Value Fund Advisors,Private Equity,30000.0,Late Stage,22/07/2015
2632,Nestaway,Luxury Rental Homes,Online Lending Platform,Bangalore,"Flipkart, Tiger Global",Private Equity,12750.0,Series A,23/07/2015
2633,Mswipe,Mobile Point of Sale payment solution,Online Lending Platform,Not provided,"Falcon Edge Capital, Meru Capital, Ola, Matrix Partners, DSG Consumer Partners, Axis Bank",Private Equity,25000.0,Series B,23/07/2015
2634,Myonsto,Online Grocers,Online Lending Platform,Ahmedabad,Jayant Bokadia,Seed Funding,320.0,Not provided,23/07/2015
