Sr No,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks,date
1,BYJU’S,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,44596.25,Not provided,09/01/2020
2,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,8048.4,Not provided,13/01/2020
3,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,18358.9,Not provided,09/01/2020
4,https://www.wealthbucket.in/,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,3000.0,Not provided,02/01/2020
5,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,1800.0,Not provided,02/01/2020
6,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,9000.0,Not provided,13/01/2020
7,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,44596.25,Not provided,10/01/2020
8,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000.0,Not provided,12/12/2019
9,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,44596.25,Not provided,06/12/2019
10,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,44596.25,Not provided,03/12/2019
11,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000.0,Not provided,13/12/2019
12,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000.0,Not provided,17/12/2019
13,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,30000.0,Not provided,16/12/2019
14,InCred,Finance,Non-Banking Financial Company,Mumbai,Not provided,Debt Funding,5900.0,Not provided,16/12/2019
15,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,2000.0,Not provided,14/12/2019
16,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,44596.25,Not provided,11/12/2019
17,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,44596.25,Not provided,20/12/2019
18,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,44596.25,Not provided,13/11/2019
19,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,486.0,Not provided,14/11/2019
20,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,1500.0,Not provided,13/11/2019
21,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,18438.5,Not provided,17/11/2019
22,Healthians,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,12000.0,Not provided,18/11/2019
23,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000.0,Not provided,15/11/2019
24,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,17411.3,Not provided,20/11/2019
25,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,1300.0,Not provided,12/11/2019
26,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,44596.25,Not provided,20/11/2019
27,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,300.0,Not provided,11/11/2019
28,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,44596.25,Not provided,19/11/2019
29,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800.0,Not provided,18/11/2019
30,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,44596.25,Not provided,15/11/2019
31,Furtados School of Music,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,Private Equity,44596.25,Not provided,19/11/2019
32,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,44596.25,Not provided,25/11/2019
33,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,44596.25,Not provided,04/10/2019
34,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,44596.25,Not provided,02/10/2019
35,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,18438.5,Not provided,21/10/2019
36,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500.0,Not provided,05/09/2019
37,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,3300.0,Not provided,04/09/2019
38,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,6000.0,Not provided,04/09/2019
39,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,5000.0,Not provided,04/09/2019
40,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,18000.0,Not provided,04/09/2019
41,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,1000.0,Not provided,04/09/2019
42,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,10000.0,Not provided,04/09/2019
43,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,44596.25,Not provided,04/09/2019
44,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,5000.0,Not provided,03/09/2019
45,CarDekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,20000.0,Not provided,01/08/2019
46,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,5000.0,Not provided,01/08/2019
47,MyPetrolPump,Retail,Fuel Delivery,Bengaluru,Not provided,Seed Funding Round,1600.0,Not provided,01/08/2019
48,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,44596.25,Not provided,01/08/2019
49,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,38080.0,Not provided,01/08/2019
50,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,44596.25,Not provided,12/08/2019
51,Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,11000.0,Not provided,13/08/2019
52,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,44596.25,Not provided,13/08/2019
53,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,37000.0,Not provided,23/08/2019
54,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,500.0,Not provided,23/08/2019
55,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,44596.25,Not provided,23/08/2019
56,INDwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,15000.0,Not provided,22/08/2019
57,HungerBox,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,6590.0,Not provided,21/08/2019
58,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Seed Round,1000.0,Not provided,23/08/2019
59,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,18438.5,Not provided,19/08/2019
60,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,44596.25,Not provided,19/08/2019
61,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,44596.25,Not provided,27/08/2019
62,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,19000.0,Not provided,02/07/2019
63,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,2500.0,Not provided,02/07/2019
64,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,145.0,Not provided,01/07/2019
65,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,1000.0,Not provided,03/07/2019
66,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,38080.0,Not provided,01/07/2019
67,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,500.0,Not provided,04/07/2019
68,"""BYJU\\'S""",EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,44596.25,Not provided,10/07/2019
69,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,44596.25,Not provided,11/07/2019
70,Ezyhaul,Tech,Logistics,Singapore,Not provided,Series B,16000.0,Not provided,10/07/2019
71,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,5750.0,Not provided,10/07/2019
72,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,2500.0,Not provided,10/07/2019
73,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,1000.0,Not provided,09/07/2019
74,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,319.6,Not provided,08/07/2019
75,NoBroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,44596.25,Not provided,05/06/2019
76,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,10000.0,Not provided,04/06/2019
77,FabHotels,E-Commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",Private Equity,4890.0,Not provided,03/06/2019
78,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,9000.0,Not provided,03/06/2019
79,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,44596.25,Not provided,04/06/2019
80,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,26000.0,Not provided,04/06/2019
81,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,2500.0,Not provided,03/06/2019
82,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",Private Equity,2739.0,Not provided,06/06/2019
83,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,26000.0,Not provided,06/06/2019
84,Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,15109.5,Not provided,06/06/2019
85,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,430.2,Not provided,10/06/2019
86,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,15500.0,Not provided,10/06/2019
87,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,44596.25,Not provided,06/06/2019
88,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,3584.0,Not provided,08/06/2019
89,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,3400.0,Not provided,04/06/2019
90,Ola Electric,Transport,Cabs,Bengaluru,Tata Sons,Series A,18438.5,Not provided,06/05/2019
91,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,868.6,Not provided,06/05/2019
92,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,18438.5,Not provided,05/05/2019
93,BlackBuck,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,44596.25,Not provided,01/05/2019
94,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,44596.25,Not provided,02/05/2019
95,Ather Energy,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,44596.25,Not provided,28/05/2019
96,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,44596.25,Not provided,28/05/2019
97,GlowRoad,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,11500.0,Not provided,30/05/2019
98,Bira91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,5600.0,Not provided,31/05/2019
99,Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,44596.25,Not provided,16/04/2019
100,Medlife,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,17000.0,Not provided,12/04/2019
101,Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,430.7,Not provided,10/04/2019
102,Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,3591.4,Not provided,13/04/2019
103,Azah,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,200.0,Not provided,12/04/2019
104,Setu,Fintech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,3500.0,Not provided,11/04/2019
105,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,6320.8,Not provided,10/04/2019
106,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,2443.5,Not provided,10/04/2019
107,Unacademy,Edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,307.0,Not provided,10/04/2019
108,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000.0,Not provided,11/04/2019
109,My Healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,3000.0,Not provided,19/04/2019
110,KrazyBee,E-commerce,Lending Platform,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,18438.5,Not provided,19/04/2019
111,Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,5000.0,Not provided,17/04/2019
112,Increff,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,3000.0,Not provided,17/04/2019
113,FleetX,AI,Logistics,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,18438.5,Not provided,01/02/2019
114,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,44596.25,Not provided,08/02/2019
115,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,600.0,Not provided,13/02/2019
116,OyoRooms,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,44596.25,Not provided,14/02/2018
117,CarDekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,44596.25,Not provided,03/01/2019
118,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,22000.0,Not provided,04/01/2019
119,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,5000.0,Not provided,04/01/2019
120,Manch,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,700.0,Not provided,04/12/2018
121,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,Series D,44596.25,Not provided,01/12/2018
122,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,800.0,Not provided,02/12/2018
123,Career Anna,Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,572.0,Not provided,02/12/2018
124,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,143.0,Not provided,04/12/2018
125,ShopKirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,2000.0,Not provided,06/12/2018
126,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,3500.0,Not provided,06/12/2018
127,GoDesi,Food and Beverage,Regional Flavours,Bengaluru,Lead Angels Network,Seed/ Angel Funding,139.0,Not provided,01/11/2018
128,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,27799.0,Not provided,03/11/2018
129,Meesho,Ecommerce,Social Commerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,44596.25,Not provided,06/11/2018
130,Mobile Premier League,Gaming,Mobile e-Sports,Bengaluru,Not provided,Series A,500.0,Not provided,08/11/2018
131,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,1000.0,Not provided,08/11/2018
132,Blackbuck,Food Tech,POS For Online Ordering,"New York, Bengaluru",Tiger Global,Series A,1000.0,Not provided,12/11/2018
133,MilkBAsket,Food,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,1300.0,Not provided,12/11/2018
134,DriveU,Transport,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Mezzanine,1000.0,Not provided,13/11/2018
135,CleanseCar,Services,Car Wash,Bengaluru,Venture Catalysts,Seed/ Angel Funding,500.0,Not provided,14/11/2018
136,Automation Anywhere,Automation,Robotics,California,SoftBank Vision Fund,Series B,44596.25,Not provided,19/11/2018
137,HealthifyMe,Health and Wellness,Wellness Coach,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),6000.0,Not provided,20/11/2018
138,Genius Corner,Education,Personalized Learning,Noida,Individual investors,Seed Funding,278.0,Not provided,21/11/2018
139,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,31000.0,Not provided,22/11/2018
140,Skillbox,Social Network,Art,Gurugram,Individual investors,Seed Funding,18438.5,Not provided,22/11/2018
141,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,3400.0,Not provided,23/11/2018
142,Engineer.ai,Software,AI Platform,India/US,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,29500.0,Not provided,24/11/2018
143,InCred Finance,Finance,SME Lending,India,"Paragon Partners, Individual Investors",Private Equity,42000.0,Not provided,25/11/2018
144,Roposo,Social Media,Video Sharing,Delhi,Bertelsmann India Investments,Series B,1700.0,Not provided,25/11/2018
145,Northmist,Fashion,Mens Wear,Delhi,Prashant Jaiswal,Seed/ Angel Funding,18438.5,Not provided,01/10/2018
146,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,11000.0,Not provided,02/10/2018
147,Grover Zampa,Food,Wine,Mumbai,Ravi Viswanathan,Private Equity,8200.0,Not provided,04/10/2018
148,Droom,Automobile,New and Used Cars Platform,Gurgaon,ZigExN,Series E,3000.0,Not provided,05/10/2018
149,Innov8,Real Estate,Co-Working,New Delhi,Credence Family Office,Pre-Series A,4000.0,Not provided,11/10/2018
150,Blackbuck,Logistics Tech,Largest Trucking Platform,Bengaluru,Sequoia Capital India,Private Funding,14680.0,Not provided,12/10/2018
151,LetsTransport,Logistics Tech,Book Trucks Online,Bengaluru,Fosun International,Series C,12000.0,Not provided,12/10/2018
152,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,35000.0,Not provided,01/09/2018
153,Udaan,B2B Platform,Logistics and Shipping,Bengaluru,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,44596.25,Not provided,03/09/2018
154,Daily hunt,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bengaluru,Falcon Edge,Private Equity,6390.0,Not provided,03/09/2018
155,3HCare,Healthcare,Healthcare Service Provider,Delhi,Not provided,Seed / Angel Funding,1000.0,Not provided,04/09/2018
156,HappyGoEasy,Consumer Internet,Online Travel Agecy,Gurugram,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,18438.5,Not provided,04/09/2018
157,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,44596.25,Not provided,05/09/2018
158,Mad Street Den,Technology,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,KDDI\\xc2\\xa0,Private Equity,18438.5,Not provided,05/09/2018
159,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,44596.25,Not provided,06/09/2018
160,MamaEarth,Healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,Stellaris Ventures & Others,Private Equity,4000.0,Not provided,10/09/2018
161,AutoGrid,Technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,32000.0,Not provided,11/09/2018
162,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt Funding,5500.0,Not provided,11/09/2018
163,Upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,5000.0,Not provided,11/09/2018
164,Kissht,Fin-Tech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,30000.0,Not provided,12/09/2018
165,dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/ Angel Funding,400.0,Not provided,01/08/2018
166,HealthFin,Finance,Patient Financing Platform,Pune,"Axilor, Sprout Venture Partners and others",Seed/ Angel Funding,18438.5,Not provided,01/08/2018
167,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,7000.0,Not provided,02/08/2018
168,ZiffyHomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,120.0,Not provided,03/08/2018
169,My OmNamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,Not provided,Seed/ Angel Funding,1000.0,Not provided,07/08/2018
170,ShopX,Consumer Internet,Assisted E-commerce Platform,Bengaluru,Fung Strategic Holdings,Private Equity,35000.0,Not provided,07/08/2018
171,MakeMyTrip,Consumer Internet,Online Travel Aggregator,Gurugram,MakeMyTrip Limited,Private Equity,10000.0,Not provided,07/08/2018
172,Hansel io,Consumer Internet,Real-time Mobile App Management,Bengaluru,Vertex Ventures,Seed/ Angel Funding,4000.0,Not provided,08/08/2018
173,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,12200.0,Not provided,08/08/2018
174,Phone Pe,Consumer Internet,UPI Payments App,Bengaluru,Flipkart,Private Equity,44596.25,Not provided,08/08/2018
175,quizizz,Ed-Tech,e-learning Platform,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",Seed/ Angel Funding,3000.0,Not provided,09/08/2018
176,Happy EMI,Fin-Tech,Consumer Financing Platform,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed/ Angel Funding,1000.0,Not provided,09/08/2018
177,Inthree,Consumer Internet,Rural E-commerce Platform,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed/ Angel Funding,4000.0,Not provided,13/08/2018
178,Observe AI,Technology,AI Based Solutions Platform,Bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,8000.0,Not provided,13/08/2018
179,Enakshi,Consumer Internet,AI Based Solutions Platform,Ahemadabad,Not provided,Seed/ Angel Funding,114.8,Not provided,16/08/2018
180,EazyDiner,Consumer Internet,Online Restaurant Table Reservation Platform,Gurugram,Denlow Investment Trust and Beenext,Private Equity,5850.0,Not provided,17/08/2018
181,Finzy,Finance,Online Loan Matchmaking Platform,Bengaluru,Not provided,Seed / Angel Funding,1000.0,Not provided,20/08/2018
182,RawPressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Debt Funding,4800.0,Not provided,20/08/2018
183,Pi Ventures,Technology,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,Bengaluru,CDC Group plc\\xc2\\xa0,Private Equity,6000.0,Not provided,22/08/2018
184,Revv,Consumer Internet,Online Indian Car Rental Platform,Gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,14270.0,Not provided,22/08/2018
185,ZestMoney,Consumer Internet,Online Lending Platform,Bengaluru,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,13400.0,Not provided,26/08/2018
186,Shubh Loans,Fin-Tech,\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,Bengaluru,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,4200.0,Not provided,26/08/2018
187,MyUpchar,Healthcare,Local Language Health Content App,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity,5000.0,Not provided,27/08/2018
188,Narvar,IT,Post-Purchase Customer Engagement Platform\\xc2\\xa0,Bengaluru,Accel (formerly known as Accel Partners),Private Equity,3000.0,Not provided,28/08/2018
189,True North,Finance,Private Equity Firm,Mumbai,Not provided,Private Equity,44596.25,Not provided,30/08/2018
190,Leena AI,Technology,HR Virtual Agent For Employees,Gurugram,Y Combinator,Seed/ Angel Funding,18438.5,Not provided,01/07/2018
191,Biryani By Kilo,Consumer Internet,Online Food Delivery,Gurugram,Ajay Relan and Vinay Mittal,Seed/ Angel Funding,1000.0,Not provided,02/07/2018
192,Anchanto,IT,E-commerce Fulfilment Platform,Pune,MDI Ventures & Telkom Indonesia,Private Equity,4000.0,Not provided,04/07/2018
